Frame number,Identity number,Bounding box left,Bounding box top,Bounding box width,Bounding box height,Area,Centroid,xCentroid,yCentroid
1,1,502,159,30,76,1243,,517.201126307321,196.91633145615447
1,2,256,222,31,90,1854,,269.30366774541534,271.09007551240563
1,3,640,243,48,86,2060,,665.5791262135922,292.61844660194174
2,1,501,161,31,78,1293,,515.7308584686775,199.0448569218871
2,2,259,222,45,89,1804,,276.369733924612,270.7477827050998
2,3,635,244,51,85,2074,,659.453712632594,293.5708775313404
3,1,499,162,32,77,1256,,514.1910828025477,200.281050955414
3,2,261,222,48,89,1862,,281.7712137486574,271.0059076262084
3,3,632,244,45,86,2029,,651.9354361754558,293.4834894036471
4,1,497,163,28,77,1338,,510.1203288490284,202.98131539611362
4,2,275,218,41,88,1870,,294.4422459893048,266.5080213903743
4,3,619,242,33,88,1891,,635.4569011105235,290.5584346906399
5,1,496,165,25,75,1270,,507.56220472440947,205.24094488188976
5,2,283,216,35,89,1776,,299.52815315315314,260.9988738738739
5,3,598,243,53,87,2267,,626.4993383325982,295.03352448169386
6,1,488,165,30,78,1339,,504.42793129200896,207.56235997012695
6,2,285,215,41,90,1840,,304.3380434782609,260.11739130434785
6,3,591,244,58,86,2250,,619.2991111111111,296.2746666666667
7,1,485,166,32,78,1314,,501.3325722983257,209.04642313546424
7,2,289,215,50,90,2100,,309.63238095238097,263.9557142857143
7,3,590,242,46,87,2049,,610.3616398243046,293.9150805270864
8,1,485,166,32,78,1379,,498.45612762871644,209.57215373459027
8,2,295,215,46,89,2050,,313.5385365853659,264.49853658536585
8,3,586,240,31,91,1595,,600.2965517241379,287.68401253918495
9,1,481,166,31,78,1299,,495.1216320246343,208.6158583525789
9,2,304,214,41,89,1836,,319.1230936819172,263.2821350762527
9,3,570,240,39,91,1878,,591.0101171458999,291.79605963791266
9,4,756,394,12,22,205,,762.5317073170731,403.2682926829268
10,1,477,167,29,78,1207,,491.86909693454845,204.57083678541838
10,2,307,211,40,90,1781,,324.4334643458731,260.7012914093206
10,3,552,242,56,88,2153,,582.4770088248955,295.59962842545286
10,4,752,388,16,32,355,,761.0676056338028,405.35774647887325
11,1,468,170,37,80,1413,,485.38287331917905,211.61358811040338
11,2,315,210,45,89,1934,,333.9586349534643,262.26577042399174
11,3,546,240,42,90,1956,,565.6017382413088,292.1063394683027
11,4,738,323,30,94,1305,,757.9785440613027,381.4122605363985
12,1,465,170,34,80,1407,,481.75266524520254,210.9637526652452
12,2,317,209,47,89,1964,,338.20264765784117,261.2484725050916
12,3,544,239,28,90,1578,,556.6989860583017,285.48669201520914
12,4,733,300,35,115,2117,,755.8700991969769,368.93197921587154
13,1,467,171,26,78,1259,,477.69340746624306,212.61397934868944
13,2,322,208,44,88,1967,,343.3294356888663,258.8596847991866
13,3,524,239,44,91,2048,,548.064453125,292.29638671875
13,4,728,297,40,116,2808,,753.4508547008547,362.52991452991455
14,1,454,173,29,78,1242,,468.8075684380032,216.69243156199678
14,2,337,203,35,88,1649,,352.62340812613706,247.73620375985445
14,3,509,240,52,89,2149,,532.6333178222429,293.7929269427641
14,4,717,296,51,115,3783,,747.8038593708696,358.6484271742004
15,1,444,174,39,79,1380,,464.2463768115942,220.68405797101448
15,2,339,203,40,88,1781,,355.9831555306008,249.08759124087592
15,3,507,238,37,90,1691,,523.4127735068007,287.9077468953282
15,4,712,293,56,117,4179,,744.6960995453458,357.2455132806892
16,1,442,174,40,79,1368,,460.6513157894737,219.53508771929825
16,2,343,203,41,88,1881,,359.7958532695375,250.4226475279107
16,3,495,237,35,91,1862,,513.5972073039742,287.3324382384533
16,4,707,289,61,117,4313,,741.3725944817992,354.9044748434964
17,1,442,174,34,79,1352,,456.55325443786984,219.58357988165682
17,2,346,201,36,89,1769,,362.60994912379874,248.73092142453365
17,3,479,238,49,88,2162,,505.67437557816834,290.11563367252546
17,4,704,285,64,115,4546,,740.3730752309723,350.11922569291687
18,1,436,174,24,81,917,,447.4525627044711,215.54089422028352
18,2,356,197,35,87,1723,,371.5026117237377,243.43180499129426
18,3,470,238,48,86,2236,,491.3770125223614,289.49239713774597
18,4,696,282,72,111,5343,,738.2966498221973,344.5592363840539
19,1,434,186,22,34,398,,443.8718592964824,200.6281407035176
19,2,358,197,40,86,1763,,373.9035734543392,242.52127056154282
19,1,421,230,37,25,336,,443.4970238095238,246.30059523809524
19,3,466,236,39,89,1900,,482.61,285.0921052631579
19,4,690,281,78,113,5708,,735.6198318149965,343.3116678346181
20,2,361,196,39,85,1877,,376.8199254128929,242.67927543953115
20,3,460,234,33,90,1700,,475.2494117647059,281.29058823529414
20,1,416,237,41,20,356,,437.25280898876406,248.65449438202248
20,4,687,280,81,111,6024,,732.3934262948208,340.46829349269586
21,5,418,177,11,28,218,,423.04128440366975,192.89908256880733
21,2,365,195,37,86,1984,,381.3210685483871,242.2772177419355
21,3,438,235,49,88,2084,,460.96976967370443,286.88579654510556
21,1,413,244,32,13,290,,428.1551724137931,249.78275862068966
21,4,679,273,79,110,5590,,720.2457960644007,332.2644007155635
22,5,409,177,19,58,420,,417.1952380952381,202.38333333333333
22,2,367,194,63,87,2281,,387.1499342393687,243.07847435335378
22,3,437,233,39,88,1822,,454.04665203073546,282.85236004390777
22,4,673,270,82,109,5728,,715.9844622905028,330.65293296089385
23,2,367,176,63,103,3119,,395.0102596986213,235.59025328630972
23,3,435,232,27,88,1682,,447.4678953626635,279.39714625445896
23,4,667,271,86,107,5875,,711.828255319149,330.87948936170216
24,1,372,177,87,141,5211,,412.40606409518324,251.55171752062944
24,4,660,268,83,110,5989,,702.0165303055602,327.9191851728168
25,1,372,187,82,129,4923,,410.86187284176316,251.49441397521835
25,4,653,265,80,109,5790,,696.7082901554404,323.86960276338516
26,1,373,187,76,125,4329,,407.3832293832294,248.7073227073227
26,4,652,262,79,108,5466,,692.2162458836443,318.9976216611782
27,1,374,178,68,132,3933,,404.71116196287824,245.67048054919908
27,4,649,261,80,105,5381,,688.7271882549712,317.5528712135291
28,1,375,178,64,131,3782,,403.87123215230037,245.68217874140666
28,4,642,261,82,105,5448,,684.2553230543318,317.7336637298091
29,1,375,180,56,128,3706,,403.4042093901781,245.1732325957906
29,4,633,256,78,108,5379,,673.4472950362521,314.8168804610522
30,1,374,180,57,124,3705,,403.16923076923075,245.1225371120108
30,4,628,254,75,106,5175,,667.8473429951691,310.8660869565217
31,1,374,180,57,120,3652,,403.13526834611173,244.72453450164292
31,4,621,253,78,105,5216,,663.2446319018405,308.47641871165644
32,1,372,181,59,117,3588,,403.07441471571906,244.2246376811594
32,4,616,254,80,103,5421,,655.4631986718317,307.6548607268032
33,1,373,180,58,117,3523,,403.43173431734317,243.75816065852968
33,4,611,252,79,104,5458,,649.419017955295,306.49871747893
34,1,375,180,67,115,3626,,404.438499724214,242.080805295091
34,4,606,244,72,110,5394,,643.758991472006,303.9942528735632
35,1,375,180,70,109,3718,,404.3988703604088,239.32678859601936
35,4,602,243,70,107,5042,,638.0807219357398,299.91689805632683
36,1,375,181,71,106,3742,,404.52805986103687,238.1365579903795
36,4,598,242,72,104,4959,,634.8104456543658,298.12018552127444
37,1,376,182,76,104,3940,,407.2682741116751,239.81954314720812
37,4,592,244,71,99,4932,,627.4864152473641,297.8718572587186
38,1,376,181,81,102,3892,,408.6988694758479,239.23792394655703
38,4,585,242,71,101,4822,,621.6534632932393,295.41165491497304
39,1,376,181,85,97,3859,,409.36304742161184,238.214563358383
39,4,583,240,64,99,4663,,616.007720351705,291.7602401887197
40,1,377,180,91,97,4212,,415.42687559354226,236.41927825261158
40,4,569,237,73,98,4816,,607.4566029900333,289.3517441860465
40,6,752,308,16,99,817,,762.5593635250918,367.26927784577725
41,1,378,180,93,96,4089,,418.04597701149424,236.23257520176082
